"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
114,1,17666.81869,1772.58941,123.44973,3249.76688,141.76502,51.03108,15.785
115,1,17755.54855,17222.05616,98.35313,2374.09458,203.85991,47.95852,13.20008
116,1,17642.35852,4576.44968,282.17496,19908.3845,71.28422,46.95248,12.13144
117,1,17804.51071,8756.98301,201.78294,13296.8768,171.4129,69.6423,13.73213
118,1,17762.89013,13868.10104,135.65891,2085.88923,249.95487,47.90052,27.53319
119,1,17807.17911,14915.04046,130.69087,7484.18386,317.34663,65.17561,9.81772
120,1,17760.80706,9211.31628,296.87589,16122.4875,153.48657,43.78029,15.39499
121,1,17872.49561,11518.40699,95.85057,1992.22738,186.26662,33.68251,10.69207
122,1,17837.01716,15782.65264,169.08719,17095.45516,223.06511,79.78417,8.68578
123,1,18058.89528,5920.98721,143.32133,4928.46969,210.29894,62.70247,17.017
124,1,18057.0886,5930.31564,152.51875,5305.89027,215.39584,60.42492,17.20484
125,1,18184.39819,7302.22566,105.48002,3307.89883,168.32597,42.85114,9.77514
126,1,18294.18774,16697.20951,53.24167,892.46795,326.40804,63.52272,15.2346
127,1,18344.64272,15276.82749,139.72924,4568.01255,224.67474,50.0933,14.05157
128,1,18419.84173,16134.68798,153.46332,3220.59896,281.20979,50.58015,23.9703
129,1,18433.8865,17784.59522,302.22441,27375.73936,33.46145,42.20098,9.18955
130,1,18404.95256,4298.94342,148.77188,2317.37436,107.23523,23.97858,15.24988
131,1,18391.4367,8689.38718,119.13947,3744.11882,168.78909,45.72865,11.56416
132,1,18476.76902,14076.45909,151.12862,14640.05864,191.52447,82.40535,8.40732
133,1,18404.24978,14949.03805,143.34093,5693.87345,217.39006,46.83105,11.15016
134,1,18543.86599,9454.97713,123.40898,2898.29717,172.30541,29.47894,10.49425
135,1,18465.66132,14274.2087,162.59553,12138.54207,236.73851,91.09519,12.83205
136,1,18623.96861,3039.60434,123.18385,2861.83982,101.69011,24.57587,8.98217
137,1,18542.39982,6339.0681,223.62104,6534.29234,148.70928,32.01592,15.93486
138,1,18540.73505,17801.24067,218.5778,11209.29058,119.23662,44.52095,12.32436
139,1,18684.76859,10966.67998,104.48802,2423.65246,194.85394,45.0351,13.63139
140,1,18702.43729,16857.6882,131.95009,6763.20567,246.18899,63.36217,10.7467
141,1,18716.28795,8009.78045,275.41204,17450.10634,47.10266,41.01854,11.57682
142,1,18738.55795,10400.91317,96.20292,1106.08485,170.84174,28.94723,16.51371
143,1,18746.71884,16136.20089,146.25084,6351.4247,252.77744,63.857,14.02302
