"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
111,1,17232.60758,16301.40644,102.47245,1231.39555,128.09585,32.94164,18.9041
112,1,17293.65758,5163.27609,80.51198,989.73369,128.38303,30.21716,13.86221
113,1,17442.19355,15244.75336,252.8352,12411.8749,84.61239,29.34438,9.99834
114,1,17397.82365,2858.76855,67.30107,589.15675,99.4191,18.48591,10.65448
115,1,17459.17834,13478.6651,287.63202,9947.00648,36.82201,26.99502,14.65255
116,1,17369.60117,18333.52046,158.93489,2016.04826,95.36618,28.27154,23.14122
117,1,17517.44059,8840.18182,142.47886,1164.42964,158.03929,35.40363,40.07628
118,1,17568.47093,4600.6211,375.02304,27610.45981,0.00001,34.83282,11.54233
119,1,17826.67851,1754.87085,82.63488,3705.03382,128.32122,33.90788,4.59843
120,1,17704.63657,4606.86568,316.27441,20326.55098,0.00002,35.63633,11.42114
121,1,17812.7884,13953.05342,120.04074,1186.15162,139.33791,28.87819,23.26281
122,1,17928.10141,8754.58948,183.08757,4138.39326,122.04296,36.17327,19.02449
123,1,17947.9206,15044.77819,81.51046,2407.62457,213.47515,48.50321,9.33552
124,1,17948.57799,15885.13468,114.48903,3634.95626,192.86978,41.81187,10.15091
125,1,17963.32977,17373.7911,132.63112,1091.42038,127.49928,35.1226,36.93475
126,1,17998.82561,11514.27096,122.26656,1265.30062,111.3132,25.55633,20.11887
127,1,18159.86645,5976.88003,112.75948,2347.58935,129.40713,36.7787,13.36914
128,1,18312.40878,7258.23157,163.46405,3377.6575,85.32139,26.37558,13.83882
129,1,18365.14098,16762.16136,123.73884,1886.9494,208.02145,38.21479,20.46051
130,1,18523.95554,8702.95363,109.1692,957.23335,137.38236,26.79901,22.34431
131,1,18527.30718,15093.41572,156.02695,3878.57425,119.96478,31.34858,13.0243
132,1,18519.42739,15357.15958,135.80898,2517.91065,142.31341,44.76523,21.44412
133,1,18502.94418,17882.59915,90.62545,535.91931,150.66778,31.12191,32.26215
134,1,18614.87798,14107.07127,80.55524,1598.31736,201.78643,43.18451,12.1995
135,1,18619.28499,14371.4947,162.06109,4551.66659,141.4842,41.66524,15.69357
136,1,18742.13681,9450.13227,146.70335,1142.28124,118.41678,27.87898,34.21563
137,1,18789.34797,3022.80718,119.97845,1211.58005,85.93685,23.02737,18.35735
138,1,18776.77672,6410.33524,66.28398,435.02699,156.41801,27.32177,19.88014
139,1,18818.41521,11075.05502,195.29619,3609.66381,85.2135,35.06393,23.92572
140,1,18796.17819,17965.84072,114.16019,1179.88845,120.93461,27.64365,20.40134
